student_id,Gender,Course,Section,Assignment_Score 1 (out of 40),Assignment_Score 2(out of 40),Test_Result 1 (out of 10),Test_result 2 (out of 10),Quiz_score (out of 7),Late_submission_count (0-5),Lms_login_frequency level,attendance_rate,midterm_score,weekly_self_study_hours,Study_Habit_level,class_participation,active_days_month,extracurricular_activities,final_score
CNSTU1000,Male,History,B,30,36,7,8,7,0,Medium,84.59857380020495,80.9605698361348,18.5,Medium,15,10,Yes,91.99355436586002
CNSTU1001,Male,Biology,B,24,38,6,4,6,1,Medium,88.84385063427585,73.34082838594578,14,Medium,16,13,No,87.24633682912769
CNSTU1002,Female,Mathematics,B,29,26,7,5,4,3,Low,83.66064063200031,82.77226245720831,19.5,Medium,15,27,No,78.59630369920174
CNSTU1003,Male,English,A,36,35,7,3,6,2,Medium,87.53630776288767,93.2763582768963,25.7,High,8,9,No,71.53063222294426
CNSTU1004,Female,Biology,B,31,37,8,6,7,0,High,74.85108266436971,72.19015950331996,13.4,Medium,19,20,No,84.9822331361359
CNSTU1005,Female,Chemistry,B,34,34,7,8,3,1,Low,91.70634965898351,72.19035651660984,13.4,Medium,11,22,Yes,81.9348538542175
CNSTU1006,Male,Computer Science,A,40,36,8,9,7,1,Low,90.0096438028978,93.9505537860887,26.1,High,18,21,No,86.95193220027733
CNSTU1007,Female,Chemistry,A,39,37,7,9,5,3,Medium,83.46329095145447,84.20921674983491,20.4,High,16,22,Yes,84.35171801681969
CNSTU1008,Male ,Biology,C,30,37,8,3,5,4,Medium,95.27396534745924,69.36630736878058,11.7,Low,5,5,No,88.49552715319335
CNSTU1009,Male,Biology,B,27,37,8,4,7,5+,Low,97.50056110101247,81.51072052303158,18.8,Medium,19,23,Yes,72.64764788439432
CNSTU1010,Male,History,C,34,25,7,10,6,0,High,77.1395210850482,69.43898768625046,11.8,Low,20,26,Yes,91.17394065634326
CNSTU1011,Female,Computer Science,C,26,28,6,1,4,3,Medium,83.89820177147028,69.41124295715692,11.7,Low,14,12,Yes,79.975996046924
CNSTU1012,Female,Economics,B,27,29,7,4,6,0,High,83.84686120170161,77.90354725879241,16.7,Medium,14,7,Yes,98.75260872625265
CNSTU1013,Male,Chemistry,C,28,34,9,6,7,1,High,82.48077519112908,52.04063706410643,1.6,Low,16,29,Yes,71.10812181910433
CNSTU1014,Male,Biology,C,38,33,8,2,3,3,Low,96.63579873545399,54.300986009843605,2.9,Low,13,9,No,95.3596380316525
CNSTU1015,Male,History,C,28,29,7,8,7,0,Medium,88.44939088981758,68.25254964910833,11.1,Low,13,27,Yes,79.97910783462648
CNSTU1016,Female,Biology,C,34,36,8,9,5,5+,Medium,87.88388126951511,62.84602655598691,7.9,Low,16,12,No,71.48581996385552
CNSTU1017,Male,Mathematics,B,29,36,7,8,5,0,Low,73.96910108474597,78.77096799114328,17.2,Medium,12,23,Yes,73.16114165945679
CNSTU1018,Female,Mathematics,C,36,34,8,4,7,1,Medium,95.08334424167381,64.10371109374547,8.6,Low,14,22,Yes,74.7965269180568
CNSTU1019,Female,Economics,C,35,29,7,5,6,3,High,80.08593284117222,58.05235558397651,5.1,Low,18,22,No,82.24165946401916
CNSTU1020,Male,Physics,A,40,40,9,3,4,2,Low,90.47946104213062,92.58778522705865,25.3,High,13,25,Yes,83.228354880355
CNSTU1021,Female,Physics,B,27,35,7,6,6,0,Low,92.21901550366553,72.29068439416157,13.4,Medium,7,5,Yes,72.26299996061421
CNSTU1022,Male ,Biology,B,26,35,8,8,7,1,Medium,100.0,75.81033845625508,15.5,Medium,21,19,Yes,77.75645407739017
CNSTU1023,Male,Physics,C,35,32,7,9,3,1,Medium,79.5294368070471,57.90302176543852,5,Low,15,22,Yes,99.42270358611864
CNSTU1024,Male,Chemistry,C,35,26,6,9,7,3,Low,65.8439027534334,68.4674073056978,11.2,Low,13,29,No,95.27543170100711
CNSTU1025,Female,Physics,B,37,37,8,3,5,4,High,91.47079635802956,76.3310710765184,15.8,Medium,16,11,Yes,82.36323669674032
CNSTU1026,Female,Mathematics,C,39,30,7,4,5,5+,Medium,100.0,61.188077070932366,6.9,Low,9,20,Yes,78.380034781682
